Sensor	Output	Time
1023 255 5749
1023 255 5750
1023 255 5751
1021 254 5752
1023 255 5754
1023 255 5755
1023 255 5756
1023 255 5757
1023 255 5760
1023 255 5761
1023 255 5762
1023 255 5763
1023 255 5765
1023 255 5766
1023 255 5767
1023 255 5768
1023 255 5770
1023 255 5771
1021 254 5772
1023 255 5773
1023 255 5775
1023 255 5776
1023 255 5777
1023 255 5778
1023 255 5780
1023 255 5781
1023 255 5782
1023 255 5783
1023 255 5785
1023 255 5786
1023 255 5787
1023 255 5788
1023 255 5790
1023 255 5791
1023 255 5792
1023 255 5793
1023 255 5794
1023 255 5796
1023 255 5797
1023 255 5798
1023 255 5799
1023 255 5801
1022 254 5803
1023 255 5804
1023 255 5805
1023 255 5807
1023 255 5808
1023 255 5809
1023 255 5810
1023 255 5812
1023 255 5813
1023 255 5814
1023 255 5815
1023 255 5817
1022 254 5818
1023 255 5819
1023 255 5820
1022 254 5822
1023 255 5823
1023 255 5824
1023 255 5825
1023 255 5827
1023 255 5828
1023 255 5829
1022 254 5830
1023 255 5832
1023 255 5833
1023 255 5834
343 85 5835
5 1 5836
2 0 5837
1 0 5838
0 0 5839
0 0 5840
0 0 5841
0 0 5841
0 0 5842
0 0 5843
0 0 5844
0 0 5846
0 0 5847
0 0 5847
0 0 5848
0 0 5849
0 0 5850
0 0 5851
0 0 5852
0 0 5852
0 0 5853
0 0 5854
0 0 5855
0 0 5856
2 0 5857
0 0 5857
0 0 5858
0 0 5859
0 0 5860
0 0 5861
0 0 5861
0 0 5862
0 0 5863
0 0 5864
0 0 5865
0 0 5866
0 0 5866
0 0 5867
0 0 5868
0 0 5869
0 0 5870
0 0 5871
0 0 5871
0 0 5872
0 0 5873
0 0 5874
0 0 5875
0 0 5876
0 0 5876
0 0 5877
0 0 5878
0 0 5879
0 0 5880
0 0 5881
0 0 5881
0 0 5882
0 0 5883
0 0 5884
0 0 5885
0 0 5886
0 0 5886
0 0 5888
0 0 5889
0 0 5890
0 0 5891
0 0 5892
0 0 5892
0 0 5893
0 0 5894
0 0 5895
0 0 5896
0 0 5897
0 0 5897
0 0 5898
0 0 5899
0 0 5900
0 0 5901
0 0 5902
0 0 5902
0 0 5903
0 0 5904
0 0 5905
0 0 5906
0 0 5906
0 0 5907
0 0 5908
0 0 5909
0 0 5910
0 0 5911
0 0 5911
0 0 5912
0 0 5913
0 0 5914
0 0 5915
0 0 5916
0 0 5916
0 0 5917
0 0 5918
0 0 5919
0 0 5920
0 0 5921
0 0 5921
0 0 5922
0 0 5923
0 0 5924
0 0 5925
0 0 5926
0 0 5926
0 0 5927
0 0 5928
0 0 5929
0 0 5931
0 0 5932
0 0 5932
0 0 5933
0 0 5934
0 0 5935
0 0 5936
0 0 5937
0 0 5937
0 0 5938
0 0 5939
0 0 5940
0 0 5941
0 0 5942
0 0 5942
0 0 5943
0 0 5944
0 0 5945
0 0 5946
0 0 5947
0 0 5947
0 0 5948
0 0 5949
0 0 5950
0 0 5951
0 0 5951
0 0 5952
0 0 5953
0 0 5954
0 0 5955
0 0 5956
0 0 5956
0 0 5957
0 0 5958
0 0 5959
0 0 5960
0 0 5961
0 0 5961
0 0 5962
0 0 5963
0 0 5964
0 0 5965
0 0 5966
0 0 5966
0 0 5967
0 0 5968
0 0 5969
0 0 5970
0 0 5971
0 0 5971
0 0 5972
0 0 5974
0 0 5975
0 0 5976
0 0 5977
0 0 5977
0 0 5978
0 0 5979
0 0 5980
0 0 5981
0 0 5982
0 0 5982
0 0 5983
0 0 5984
0 0 5985
0 0 5986
0 0 5987
0 0 5987
0 0 5988
0 0 5989
0 0 5990
0 0 5991
0 0 5991
0 0 5992
0 0 5993
0 0 5994
0 0 5995
0 0 5996
0 0 5996
0 0 5997
0 0 5998
0 0 5999
0 0 6000
0 0 6001
0 0 6001
0 0 6002
0 0 6003
0 0 6004
0 0 6005
0 0 6006
0 0 6006
0 0 6007
0 0 6008
0 0 6009
0 0 6010
0 0 6011
0 0 6011
0 0 6012
0 0 6013
0 0 6014
0 0 6016
0 0 6017
0 0 6017
0 0 6018
0 0 6019
0 0 6020
0 0 6021
0 0 6022
1 0 6022
1020 254 6023
1023 255 6024
1023 255 6026
1023 255 6027
1023 255 6028
1023 255 6029
1023 255 6031
1020 254 6032
1023 255 6033
1023 255 6034
1023 255 6036
1023 255 6037
1023 255 6038
1023 255 6039
1023 255 6041
1023 255 6042
1023 255 6043
1023 255 6044
1023 255 6046
1023 255 6047
1023 255 6048
1023 255 6049
1022 254 6051
1023 255 6052
1022 254 6053
1023 255 6054
1023 255 6056
1023 255 6057
1023 255 6059
1023 255 6060
1023 255 6062
1023 255 6063
1023 255 6064
1023 255 6065
1023 255 6067
1023 255 6068
1023 255 6069
1023 255 6070
1023 255 6072
1023 255 6073
1023 255 6074
1023 255 6075
1023 255 6077
1023 255 6078
1023 255 6079
1023 255 6080
1021 254 6081
1023 255 6083
1021 254 6084
1023 255 6085
1023 255 6086
1023 255 6088
1023 255 6089
1023 255 6090
1023 255 6091
1023 255 6093
1023 255 6094
1023 255 6095
1023 255 6096
1023 255 6098
1023 255 6099
1023 255 6100
1023 255 6102
1023 255 6104
1023 255 6105
1023 255 6106
1023 255 6107
1023 255 6109
1021 254 6110
1023 255 6111
1023 255 6112
1023 255 6114
1023 255 6115
1023 255 6116
1023 255 6117
1023 255 6119
1023 255 6120
1023 255 6121
1023 255 6122
1023 255 6124
1023 255 6125
1023 255 6126
1023 255 6127
1022 254 6129
1023 255 6130
1023 255 6131
1023 255 6132
1023 255 6134
1023 255 6135
1023 255 6136
1023 255 6137
1023 255 6139
1023 255 6140
1023 255 6141
1023 255 6142
1023 255 6144
1023 255 6146
1023 255 6147
1023 255 6148
1023 255 6149
1023 255 6151
1023 255 6152
1023 255 6153
1023 255 6154
1023 255 6156
1023 255 6157
1023 255 6158
1022 254 6159
1023 255 6161
1023 255 6162
1023 255 6163
1023 255 6164
1023 255 6166
1023 255 6167
1023 255 6168
1023 255 6169
1023 255 6171
1023 255 6172
1023 255 6173
1023 255 6174
1023 255 6176
1023 255 6177
1023 255 6178
1023 255 6179
1023 255 6181
1023 255 6182
1023 255 6183
1023 255 6184
1023 255 6187
1023 255 6188
1023 255 6189
1023 255 6190
1023 255 6192
1023 255 6193
1023 255 6194
1023 255 6195
1023 255 6197
1023 255 6198
1023 255 6199
1023 255 6200
1023 255 6202
1023 255 6203
1023 255 6204
1023 255 6205
1020 254 6207
1023 255 6208
1022 254 6209
88 21 6210
3 0 6211
1 0 6212
0 0 6213
0 0 6214
0 0 6215
0 0 6215
0 0 6216
0 0 6217
0 0 6218
0 0 6219
0 0 6220
0 0 6220
0 0 6221
0 0 6222
0 0 6223
0 0 6224
0 0 6225
0 0 6225
0 0 6226
0 0 6227
0 0 6228
0 0 6230
0 0 6230
0 0 6231
0 0 6232
0 0 6233
0 0 6234
0 0 6235
0 0 6235
0 0 6236
0 0 6237
0 0 6238
0 0 6239
0 0 6240
0 0 6240
0 0 6241
0 0 6242
0 0 6243
0 0 6244
0 0 6245
0 0 6245
0 0 6246
0 0 6247
0 0 6248
0 0 6249
0 0 6250
0 0 6250
0 0 6251
0 0 6252
0 0 6253
0 0 6254
0 0 6255
0 0 6255
0 0 6256
0 0 6257
0 0 6258
0 0 6259
0 0 6260
0 0 6260
0 0 6261
0 0 6262
0 0 6263
0 0 6264
0 0 6265
0 0 6265
0 0 6266
0 0 6267
0 0 6268
0 0 6269
0 0 6270
0 0 6270
0 0 6272
0 0 6273
0 0 6274
0 0 6275
0 0 6275
0 0 6276
0 0 6277
0 0 6278
0 0 6279
0 0 6280
0 0 6280
0 0 6281
0 0 6282
0 0 6283
0 0 6284
0 0 6285
0 0 6285
0 0 6286
0 0 6287
0 0 6288
0 0 6289
0 0 6290
0 0 6290
0 0 6291
0 0 6292
0 0 6293
0 0 6294
0 0 6295
0 0 6295
0 0 6296
0 0 6297
0 0 6298
0 0 6299
0 0 6300
0 0 6300
0 0 6301
0 0 6302
0 0 6303
0 0 6304
0 0 6305
0 0 6305
0 0 6306
0 0 6307
0 0 6308
0 0 6309
0 0 6310
0 0 6310
0 0 6311
0 0 6312
0 0 6313
0 0 6315
0 0 6316
0 0 6316
0 0 6317
0 0 6318
0 0 6319
0 0 6320
0 0 6320
0 0 6321
0 0 6322
0 0 6323
0 0 6324
0 0 6325
0 0 6325
0 0 6326
0 0 6327
0 0 6328
0 0 6329
0 0 6330
0 0 6330
0 0 6331
0 0 6332
0 0 6333
0 0 6334
