Sensor	Output	Time
0 255 50936
0 255 50937
0 255 50938
0 255 50940
0 255 50941
0 255 50942
0 255 50944
0 255 50945
0 255 50946
0 255 50947
0 255 50948
0 255 50949
0 255 50950
0 255 50951
0 255 50952
0 255 50953
1 254 50955
0 255 50956
0 255 50957
0 255 50958
0 255 50959
0 255 50960
0 255 50961
0 255 50962
0 255 50963
0 255 50964
0 255 50965
0 255 50966
0 255 50968
0 255 50969
0 255 50970
0 255 50971
0 255 50972
0 255 50973
0 255 50974
0 255 50975
0 255 50976
0 255 50977
0 255 50978
0 255 50979
0 255 50980
0 255 50982
0 255 50983
0 255 50984
0 255 50985
0 255 50987
0 255 50988
0 255 50989
0 255 50990
0 255 50991
0 255 50992
0 255 50993
0 255 50994
0 255 50995
0 255 50997
0 255 50998
0 255 50999
0 255 51000
0 255 51001
0 255 51002
0 255 51003
0 255 51004
0 255 51005
0 255 51006
0 255 51007
0 255 51008
0 255 51010
0 255 51011
0 255 51012
0 255 51013
0 255 51014
0 255 51015
0 255 51016
0 255 51017
0 255 51018
0 255 51019
0 255 51020
0 255 51021
0 255 51022
0 255 51024
0 255 51025
0 255 51026
0 255 51027
0 255 51028
0 255 51030
0 255 51031
0 255 51032
0 255 51033
0 255 51034
0 255 51035
0 255 51036
0 255 51037
0 255 51039
0 255 51040
0 255 51041
0 255 51042
0 255 51043
0 255 51044
1 254 51045
0 255 51046
0 255 51047
0 255 51048
0 255 51049
0 255 51050
0 255 51052
0 255 51053
0 255 51054
0 255 51055
0 255 51056
0 255 51057
0 255 51058
0 255 51059
0 255 51060
0 255 51061
0 255 51062
0 255 51063
0 255 51064
0 255 51066
0 255 51067
0 255 51068
0 255 51069
0 255 51070
0 255 51072
0 255 51073
0 255 51074
0 255 51075
0 255 51076
0 255 51077
0 255 51078
0 255 51080
0 255 51081
0 255 51082
0 255 51083
0 255 51084
0 255 51085
0 255 51086
0 255 51087
0 255 51088
0 255 51089
0 255 51090
0 255 51091
0 255 51092
0 255 51094
0 255 51095
0 255 51096
0 255 51097
0 255 51098
0 255 51099
0 255 51100
0 255 51101
0 255 51102
0 255 51103
0 255 51104
0 255 51105
0 255 51106
0 255 51108
0 255 51109
0 255 51110
0 255 51111
0 255 51112
0 255 51113
0 255 51115
0 255 51116
0 255 51117
0 255 51118
0 255 51119
0 255 51120
0 255 51122
0 255 51123
0 255 51124
0 255 51125
0 255 51126
0 255 51127
0 255 51128
0 255 51129
0 255 51130
0 255 51131
0 255 51132
0 255 51133
0 255 51134
0 255 51136
0 255 51137
0 255 51138
0 255 51139
0 255 51140
0 255 51141
0 255 51142
0 255 51143
0 255 51144
0 255 51145
0 255 51146
0 255 51147
0 255 51148
0 255 51150
0 255 51151
0 255 51152
0 255 51153
0 255 51154
0 255 51155
0 255 51156
0 255 51158
0 255 51159
0 255 51160
0 255 51161
0 255 51162
0 255 51164
0 255 51165
0 255 51166
0 255 51167
0 255 51168
1 254 51169
0 255 51170
0 255 51171
0 255 51172
0 255 51173
0 255 51174
0 255 51175
1 254 51176
0 255 51178
0 255 51179
0 255 51180
0 255 51181
0 255 51182
0 255 51183
0 255 51184
0 255 51185
0 255 51186
0 255 51187
0 255 51188
0 255 51189
0 255 51190
0 255 51192
0 255 51193
0 255 51194
0 255 51195
0 255 51196
0 255 51197
0 255 51198
0 255 51200
0 255 51201
0 255 51202
0 255 51203
0 255 51204
0 255 51206
0 255 51207
0 255 51208
0 255 51209
0 255 51210
0 255 51211
0 255 51212
0 255 51213
0 255 51214
0 255 51215
0 255 51216
0 255 51217
0 255 51218
0 255 51220
0 255 51221
0 255 51222
0 255 51223
0 255 51224
0 255 51225
0 255 51226
0 255 51227
0 255 51228
0 255 51229
0 255 51230
0 255 51231
0 255 51233
0 255 51234
0 255 51235
0 255 51236
0 255 51237
0 255 51238
0 255 51239
0 255 51240
0 255 51241
0 255 51243
0 255 51244
0 255 51245
0 255 51246
0 255 51248
0 255 51249
0 255 51250
0 255 51251
0 255 51252
0 255 51253
0 255 51254
0 255 51255
0 255 51256
0 255 51257
0 255 51258
0 255 51259
0 255 51260
